,Date,AwayTeam,HomeTeam,AwayFirst,AwaySecond,AwayThird,AwayFourth,AwayFinal,AwayML,HomeFirst,HomeSecond,HomeThird,HomeFourth,HomeFinal,HomeML,Spread,Favorite,TotalPoints,day,month,year
200,2012-11-27,Dallas,Philadelphia,31.0,25.0,17.0,25.0,98.0,130.0,28.0,25.0,22.0,25.0,100.0,-150.0,3.0,Home,192.0,27,11,2012.0
201,2012-11-27,Phoenix,Cleveland,19.0,18.0,34.0,20.0,91.0,-155.0,13.0,19.0,27.0,19.0,78.0,135.0,3.5,Away,201.0,27,11,2012.0
202,2012-11-27,Toronto,Houston,23.0,28.0,28.0,22.0,101.0,210.0,29.0,32.0,38.0,18.0,117.0,-250.0,6.0,Home,203.5,27,11,2012.0
203,2012-11-27,Minnesota,Sacramento,27.0,21.0,27.0,22.0,97.0,100.0,26.0,19.0,22.0,22.0,89.0,-120.0,1.0,Home,195.5,27,11,2012.0
204,2012-11-27,Indiana,LALakers,25.0,15.0,21.0,18.0,79.0,345.0,21.0,12.0,24.0,20.0,77.0,-430.0,8.5,Home,196.0,27,11,2012.0
205,2012-11-28,Portland,Washington,27.0,16.0,16.0,23.0,82.0,-155.0,23.0,20.0,25.0,16.0,84.0,135.0,3.0,Away,193.0,28,11,2012.0
206,2012-11-28,SanAntonio,Orlando,29.0,26.0,26.0,29.0,110.0,-355.0,18.0,23.0,23.0,25.0,89.0,295.0,7.5,Away,197.0,28,11,2012.0
207,2012-11-28,Brooklyn,Boston,28.0,23.0,19.0,25.0,95.0,155.0,20.0,18.0,17.0,28.0,83.0,-175.0,3.5,Home,190.0,28,11,2012.0
208,2012-11-28,Charlotte,Atlanta,18.0,27.0,20.0,26.0,91.0,420.0,20.0,23.0,28.0,23.0,94.0,-525.0,9.5,Home,193.5,28,11,2012.0
209,2012-11-28,Phoenix,Detroit,24.0,20.0,16.0,17.0,77.0,130.0,24.0,31.0,26.0,36.0,117.0,-150.0,3.0,Home,198.0,28,11,2012.0
210,2012-11-28,Dallas,Chicago,23.0,19.0,16.0,20.0,78.0,220.0,24.0,34.0,19.0,24.0,101.0,-260.0,6.5,Home,190.0,28,11,2012.0
211,2012-11-28,NewYork,Milwaukee,23.0,35.0,30.0,14.0,102.0,-140.0,26.0,22.0,22.0,18.0,88.0,120.0,2.5,Away,202.0,28,11,2012.0
212,2012-11-28,Toronto,Memphis,27.0,20.0,14.0,21.0,82.0,530.0,24.0,24.0,33.0,22.0,103.0,-730.0,10.5,Home,189.5,28,11,2012.0
213,2012-11-28,Utah,NewOrleans,20.0,21.0,31.0,24.0,96.0,-145.0,20.0,19.0,17.0,28.0,84.0,125.0,3.0,Away,190.0,28,11,2012.0
214,2012-11-28,Houston,OklahomaCity,25.0,20.0,29.0,24.0,98.0,555.0,27.0,30.0,29.0,34.0,120.0,-780.0,10.5,Home,210.0,28,11,2012.0
215,2012-11-28,Minnesota,LAClippers,28.0,27.0,22.0,18.0,95.0,415.0,23.0,34.0,19.0,25.0,101.0,-520.0,9.0,Home,194.5,28,11,2012.0
216,2012-11-29,SanAntonio,Miami,27.0,17.0,32.0,24.0,100.0,695.0,22.0,25.0,26.0,32.0,105.0,-1095.0,13.5,Home,202.0,29,11,2012.0
217,2012-11-29,Denver,GoldenState,25.0,35.0,26.0,19.0,105.0,-115.0,30.0,21.0,27.0,28.0,106.0,-105.0,1.0,Away,199.5,29,11,2012.0
218,2012-11-30,Phoenix,Toronto,25.0,27.0,24.0,21.0,97.0,130.0,19.0,32.0,29.0,21.0,101.0,-150.0,3.0,Home,200.5,30,11,2012.0
219,2012-11-30,Philadelphia,Charlotte,27.0,27.0,22.0,28.0,104.0,-160.0,25.0,25.0,23.0,25.0,98.0,140.0,3.5,Away,188.0,30,11,2012.0
220,2012-11-30,Brooklyn,Orlando,25.0,20.0,31.0,22.0,98.0,-210.0,21.0,23.0,21.0,21.0,86.0,175.0,5.0,Away,184.0,30,11,2012.0
221,2012-11-30,Portland,Boston,18.0,15.0,26.0,19.0,78.0,170.0,25.0,31.0,19.0,21.0,96.0,-200.0,4.5,Home,193.0,30,11,2012.0
222,2012-11-30,Washington,NewYork,17.0,29.0,19.0,22.0,87.0,900.0,26.0,31.0,29.0,22.0,108.0,-1300.0,12.5,Home,190.0,30,11,2012.0
223,2012-11-30,Cleveland,Atlanta,27.0,29.0,26.0,31.0,113.0,340.0,29.0,38.0,24.0,20.0,111.0,-425.0,8.0,Home,189.5,30,11,2012.0
224,2012-11-30,Detroit,Memphis,21.0,24.0,21.0,12.0,78.0,475.0,22.0,31.0,23.0,14.0,90.0,-650.0,10.5,Home,188.5,30,11,2012.0
225,2012-11-30,Utah,OklahomaCity,20.0,22.0,25.0,27.0,94.0,425.0,22.0,32.0,29.0,23.0,106.0,-550.0,9.5,Home,201.0,30,11,2012.0
226,2012-11-30,Milwaukee,Minnesota,30.0,17.0,16.0,22.0,85.0,110.0,29.0,28.0,11.0,27.0,95.0,-130.0,2.0,Home,194.5,30,11,2012.0
227,2012-11-30,Indiana,Sacramento,20.0,23.0,29.0,25.0,97.0,-125.0,17.0,23.0,27.0,25.0,92.0,105.0,1.5,Away,187.0,30,11,2012.0
